Class,ResNet50,ViT_Small,Zoobot
Disturbed,55.9,59.5,62.1
Merging,88.7,91.5,92.9
Round Smooth,92,92.3,95.4
In-between Smooth,92.9,91.2,93.5
Cigar Smooth,84.7,81.6,78
Barred Spiral,88,88.2,91.2
Unbarred Tight Spiral,76.3,74.2,84.2
Unbarred Loose Spiral,76.8,75.9,81.7
Edge-on without Bulge,93.2,94.6,94.9
Edge-on with Bulge,93.9,94.9,95.5
